,year,name,avg_outdated_days
0,2018-01-01,react-smackdown,10.666666666666666
1,2015-01-01,vfile,86.16666666666667
2,2014-01-01,broccoli-static-compiler,64.75
3,2021-01-01,@stdlib/constants-uint32-max,64.67479674796748
4,2018-01-01,enzyme-adapter-react-15,141.6
5,2021-01-01,ganache-cli,75.71428571428571
6,2019-01-01,grunt-contrib-uglify,437.734375
7,2016-01-01,ng2-bootstrap,283.75
8,2016-01-01,@turf/centroid,557.3181818181819
9,2013-01-01,grunt-contrib-uglify,628.8987707881417
10,2018-01-01,johanness-scripts,294.0
11,2018-01-01,vue-dream-ui,0.0
12,2020-01-01,@types/uuid,323.0124967680772
13,2011-01-01,pegjs,702.9215686274509
14,2020-01-01,fepper-ui,673.8888888888889
15,2020-01-01,run-z,238.42105263157896
16,2016-01-01,grunt-autoprefixer,1488.0
17,2020-01-01,@skyux/core,32.45238095238095
18,2020-01-01,@types/setup-polly-jest,108.78571428571429
19,2018-01-01,gulp-inject-string,330.9230769230769
20,2020-01-01,@vue/cli,149.62396694214877
21,2022-01-01,moq.ts,30.0
22,2020-01-01,vue-jest,302.7717696629214
23,2017-01-01,grunt-contrib-uglify,531.1467336683417
24,2017-01-01,@types/chalk,467.9917355371901
25,2015-01-01,pegjs,570.0
26,2020-01-01,jtest-easy-swiper,0.0
27,2021-01-01,@ckeditor/ckeditor5-build-classic,196.2058823529412
28,2021-01-01,@salte-auth/redirect,0.0
29,2022-01-01,fepper-ui,12.666666666666666
30,2022-01-01,ehr-document-ui,10.155786350148368
31,2012-01-01,pegjs,375.5882352941176
32,2022-01-01,@ckeditor/ckeditor5-build-classic,30.666666666666668
33,2016-01-01,@types/node-uuid,193.80434782608697
34,2019-01-01,@webpack-cli/init,82.76470588235294
35,2019-01-01,@flowscripter/tsconfig,0.0
36,2021-01-01,@stdlib/random-iter-discrete-uniform,90.0625
37,2015-01-01,through,977.5
38,2018-01-01,@vue/cli,76.0
39,2022-01-01,@pnpm/real-hoist,12.0
40,2018-01-01,vue-jest,398.1757322175732
41,2020-01-01,@size-limit/preset-small-lib,83.96165191740413
42,2018-01-01,vue-hot-reload-api,635.2068965517242
43,2018-01-01,fepper-ui,1294.962962962963
44,2018-01-01,@types/uuid,202.5441176470588
45,2015-01-01,gulp-concat,586.5381062355658
46,2017-01-01,react-money-component-intl,0.0
47,2019-01-01,@ckeditor/ckeditor5-build-classic,150.23076923076923
48,2017-01-01,tslint-config-temando,220.88888888888889
49,2013-01-01,gulp-concat,957.1923076923077
50,2021-01-01,kava,1.0
51,2017-01-01,vfile,68.83333333333333
52,2021-01-01,@twilio-paste/text,9.0
53,2018-01-01,eslint-plugin-minoris,0.0
54,2016-01-01,pegjs,215.0
55,2018-01-01,@oigroup/lightscript-eslint,401.7857142857143
56,2014-01-01,gulp-concat,603.2717889908257
57,2015-01-01,vue-hot-reload-api,655.7357954545455
58,2021-01-01,stentor-guards,0.6
59,2012-01-01,through,1461.2666666666667
60,2014-01-01,through,1223.5
61,2019-01-01,@size-limit/preset-small-lib,4.0
62,2021-01-01,@fink/cli,34.0
63,2018-01-01,karma-jasmine-diff-reporter,161.5
64,2017-01-01,pegjs,750.0
65,2022-01-01,@stdlib/math-base-special-acosh,0.0
66,2017-01-01,postcss-adaptive,197.0
67,2013-01-01,through,1250.8181818181818
68,2018-01-01,commandland,97.67857142857143
69,2018-01-01,cpy,84.83333333333333
70,2019-01-01,eslint-config-mixmax,19.4
71,2017-01-01,fepper-ui,1697.5
72,2021-01-01,@stdlib/math-base-special-acosh,75.84210526315789
73,2014-01-01,win-utils,10.0
74,2017-01-01,@turf/centroid,301.24074074074076
75,2017-01-01,@types/uuid,392.36206896551727
76,2019-01-01,@vue/cli,338.95454545454544
77,2020-01-01,@babel/plugin-proposal-function-bind,142.20103092783506
78,2013-01-01,pegjs,224.0
79,2016-01-01,react-formy,137.34666666666666
80,2019-01-01,@skyux/core,27.0
81,2019-01-01,vue-jest,670.4522842639594
82,2016-01-01,opentype.js,62.0
83,2013-01-01,grunt-autoprefixer,277.2708333333333
84,2016-01-01,gulp-concat,304.542750929368
85,2021-01-01,@rollup/plugin-url,147.78048780487805
86,2019-01-01,fepper-ui,987.1428571428571
87,2019-01-01,@types/uuid,476.02127659574467
88,2021-01-01,grunt-contrib-uglify,209.57142857142858
89,2016-01-01,grunt-contrib-uglify,551.5416666666666
90,2021-01-01,@types/watch,269.5
91,2020-01-01,@significa/prettier-config,193.1904761904762
92,2017-01-01,vue-jest,418.8938053097345
93,2018-01-01,@babel/plugin-proposal-function-bind,431.30434782608694
94,2017-01-01,eslint-config-mixmax,220.78947368421052
95,2021-01-01,@candlelib/dev-tools,123.0
96,2020-01-01,@ckeditor/ckeditor5-build-classic,310.57142857142856
97,2016-01-01,@types/nprogress,1464.6752688172044
98,2019-01-01,pegjs,244.0
99,2015-01-01,grunt-contrib-uglify,420.0529901589705
100,2020-01-01,@types/pubsub-js,120.5
101,2018-01-01,@turf/centroid,18.333333333333332
102,2021-01-01,leis-ui,1.0
103,2022-01-01,@andystevenson/theme-toggle,0.0
104,2020-01-01,@twilio-paste/text,34.0
105,2017-01-01,enzyme-adapter-react-15,404.75
106,2018-01-01,wvocabulary,65.66737176097303
107,2012-01-01,grunt-contrib-uglify,1398.590909090909
108,2014-01-01,grunt-contrib-uglify,504.3477795612627
109,2020-01-01,@fink/cli,202.0
110,2022-01-01,git-cz-emoji,0.0
111,2018-01-01,eslint-config-mixmax,186.75
112,2020-01-01,@webpack-cli/init,27.958333333333332
113,2019-01-01,vfile,186.0
114,2016-01-01,@types/uuid,746.8777429467085
115,2019-01-01,@hapi/eslint-plugin-hapi,482.5
116,2019-01-01,opentype.js,265.23333333333335
117,2021-01-01,run-z,103.03333333333333
118,2019-01-01,@babel/plugin-proposal-function-bind,267.9166666666667
119,2021-01-01,@vitejs/plugin-vue,67.76288659793815
120,2019-01-01,kava,0.0
121,2017-01-01,react-formy,51.46666666666667
122,2016-01-01,blear.utils.date,87.71428571428571
123,2022-01-01,@types/watch,82.5
124,2022-01-01,@size-limit/preset-small-lib,16.80701754385965
125,2019-01-01,@waxweazler/tjs,0.0
126,2021-01-01,ehr-document-ui,36.81967213114754
127,2016-01-01,vue-hot-reload-api,497.2883970489604
128,2021-01-01,@types/nodemon,14.0
129,2022-01-01,@releaseband/commitlint-config,0.0
130,2016-01-01,vue-jest,2083.5
131,2020-01-01,@rollup/plugin-url,184.06849315068493
132,2020-01-01,grunt-contrib-uglify,312.2830188679245
133,2019-01-01,ganache-cli,409.7278911564626
134,2017-01-01,ng2-bootstrap,156.51724137931035
135,2021-01-01,moq.ts,140.98181818181817
136,2020-01-01,ganache-cli,239.08620689655172
137,2017-01-01,@oigroup/lightscript-eslint,433.125
138,2019-01-01,@types/watch,756.25
139,2019-01-01,@uhc/pattern-library,4.0
140,2021-01-01,npm-test-ly,0.0
141,2018-01-01,vfile,4.0
142,2017-01-01,blear.utils.date,2.0
143,2021-01-01,fepper-ui,239.16666666666666
144,2019-01-01,vue-hot-reload-api,469.65868263473055
145,2018-01-01,od-image-upload,0.0
146,2017-01-01,vue-hot-reload-api,678.5092127303183
147,2021-01-01,@vue/cli,51.11764705882353
148,2018-01-01,vue-particle-line,42.5
149,2019-01-01,enzyme-adapter-react-15,48.833333333333336
150,2017-01-01,karma-jasmine-diff-reporter,155.8
151,2021-01-01,vue-jest,188.343797856049
152,2018-01-01,pegjs,647.25
153,2020-01-01,@salte-auth/redirect,419.0
154,2018-01-01,@webpack-cli/init,6.4
155,2020-01-01,@hapi/eslint-plugin-hapi,252.0
156,2016-01-01,@types/chalk,645.3409090909091
157,2020-01-01,opentype.js,37.3448275862069
158,2022-01-01,stentor-guards,0.0
159,2019-01-01,eslint-plugin-pretty-imports,0.0
160,2014-01-01,grunt-autoprefixer,218.80397727272728
161,2019-01-01,@types/log-update,287.0
162,2014-01-01,stylobate-islands,27.666666666666668
163,2017-01-01,johanness-scripts,226.8
164,2020-01-01,kava,4.333333333333333
165,2017-01-01,cpy,245.72727272727272
166,2018-01-01,codogo-scripts,42.714285714285715
167,2012-01-01,baudio,199.0
168,2014-01-01,baudio,80.5
169,2015-01-01,grunt-autoprefixer,182.97260273972603
170,2021-01-01,@size-limit/preset-small-lib,95.10466988727859
171,2021-01-01,@babel/plugin-proposal-function-bind,29.38095238095238
172,2018-01-01,noderize-scripts,2.875
173,2021-01-01,vitepress,19.266666666666666
174,2018-01-01,grunt-contrib-uglify,400.45652173913044
175,2021-01-01,@alicd/build-plugin-component-babel-plugins,36.5
176,2013-01-01,baudio,308.75
177,2016-01-01,cpy,690.060606060606
178,2018-01-01,ganache-cli,646.4744186046512
179,2019-01-01,@types/nprogress,353.20338983050846
